,logFC,P.Value,adj.P.Val
SEH1L,-1.449949,0.023214708,0.726059102
DCAF16,-1.824838,0.023259777,0.726854958
RUNDC2A,-1.2296139,0.023270114,0.726973533
HOXA11AS,-1.9565892,0.023279182,0.727052415
SLC27A6,-2.862007,0.02331988,0.727301445
PPM1F,-1.467888,0.023334502,0.727349176
CREB5,-3.494954,0.023345383,0.727484291
GAPDH,-1.6887823,0.023350413,0.72723318
S100A7,-3.315618,0.023390344,0.727864791
CPEB1,-2.3999376,0.023404589,0.728104176
NOTCH3,-1.2728169,0.023466521,0.728806656
C1orf52,-1.5420812,0.023469139,0.728684308
BOC,-5.223776,0.023470524,0.728523741
PXDN,-2.1792886,0.023471741,0.728358083
PMAIP1,-1.6949545,0.023501733,0.728678302
CD55,-3.0289333,0.023520584,0.728652868
EIF2AK2,-2.5841057,0.023570114,0.729577087
JAG1,-2.3270948,0.023572193,0.729438263
ECE2,-1.1114954,0.023584314,0.729407119
EMCN,-1.875774,0.02361621,0.729784245
FOXL1,-1.4950933,0.02364626,0.729698231
GRID1,-2.34115,0.023661849,0.729976584
EGFR,-2.7564042,0.023700337,0.729745773
C17orf58,-1.2584369,0.023721132,0.729779457
SEC14L3,-1.8628232,0.023772981,0.730767641
PSMC1,-1.2018476,0.023835564,0.731881577
PTCHD1,-2.9365244,0.023843618,0.731926616
SLC2A14,-1.9856745,0.023917276,0.73317503
BSPRY,-1.523157,0.023933576,0.732664115
RBP7,-3.412733,0.023986537,0.733275373
MANF,-1.2344359,0.024000547,0.73350188
MLLT10,-1.1271001,0.024021133,0.733525782
ISL1,-1.3013602,0.024029506,0.733378423
NSD1,-1.4048314,0.024035938,0.732970769
RPS8,-1.19233,0.024056659,0.73340141
METTL1,-1.2605257,0.024056681,0.733200924
PODN,-1.0789146,0.024090133,0.733415853
SOBP,-3.2536647,0.024090283,0.73321954
B4GALT4,-1.1016943,0.024110246,0.733425372
C21orf90,-1.2519089,0.024113344,0.733318855
C20orf160,-1.6996398,0.024114459,0.733152133
SETD5,-1.210221,0.024122942,0.733008945
CDS2,-1.7218442,0.024154543,0.732566936
C15orf51,-1.0946195,0.024220264,0.733959201
PCDHB19P,-1.1770716,0.024222597,0.733829798
STT3A,-1.3097628,0.024259386,0.734343708
ZBTB38,-1.5608903,0.024385145,0.735945271
TOMM22,-1.2247509,0.024455609,0.736671358
NXPH2,-1.2595942,0.02448528,0.736367469
FSD1,-1.2022212,0.024505813,0.736387099
C4orf42,-1.2134358,0.024537926,0.736356469
PCDH18,-3.1555855,0.024558031,0.736363222
GPX2,-1.5886471,0.024580027,0.736625222
LOC100130938,-1.6135399,0.024596377,0.736320891
LOC730755,-1.1784859,0.024601638,0.736081815
PGM1,-1.719427,0.024604152,0.735958873
RGS17,-2.6362257,0.024607875,0.735674186
INA,-1.6652582,0.024612622,0.735618179
SUPT16H,-1.1819959,0.024636005,0.735723411
KRTAP13-2,-1.229252,0.024636375,0.735536776
KLRAQ1,-1.2205694,0.02463717,0.735362938
TUBB6,-6.489897,0.024686874,0.735858247
GNG11,-2.1636922,0.024691981,0.73581309
CCDC90B,-1.6125184,0.024705728,0.735828088
PDZD2,-3.1834838,0.024715927,0.735934618
PANX2,-1.2913344,0.024716309,0.735748837
WDR81,-1.129975,0.024717859,0.73559793
BCAT1,-5.3676844,0.024740688,0.735686225
COL8A2,-2.5344698,0.024779698,0.736452083
SLC2A13,-2.4004717,0.024790843,0.736389431
HORMAD1,-2.114674,0.024807644,0.73629804
PCDHB4,-4.303981,0.024820161,0.736276221
CXADRP2,-3.3125443,0.024845431,0.735847249
LIMS3,-4.634034,0.024847868,0.735723321
C5orf41,-1.3712924,0.024849094,0.73556363
ATP9A,-1.377685,0.024852893,0.73548016
IGFL2,-6.0883994,0.024857379,0.73541706
DACT3,-2.6349232,0.024857593,0.735227648
NCRNA00086,-1.2382214,0.024879055,0.735666651
NCRNA00087,-1.2382214,0.024879055,0.735666651
OR10W1,-1.2279788,0.024942917,0.736183728
COL11A2,-1.2047276,0.024945565,0.736066383
DNLZ,-1.1927813,0.024946679,0.735903838
SEC14L1,-1.3099365,0.024956914,0.736010403
SAE1,-1.0578568,0.024981979,0.736358737
AMOT,-1.289408,0.025121079,0.739086486
NACC2,-1.9465845,0.025214047,0.740253781
PPP4R2,-1.7962354,0.025229242,0.740308716
KLF14,-1.2014697,0.025248057,0.740469747
TGIF2LY,-1.3152015,0.025248522,0.740288001
TGIF2LX,-1.3152015,0.025248522,0.740288001
KLHL24,-1.5081064,0.025260532,0.740249509
PLEKHM3,-2.8119628,0.0252827,0.740508567
TEKT4,-1.3331459,0.025299861,0.740425715
ARL6,-1.70366,0.025311958,0.740194916
NUP62CL,-6.7098627,0.025314563,0.74007635
TBC1D1,-1.4516609,0.025345768,0.740209655
CLIC3,-1.2876201,0.02549973,0.741781799
ANKRD36B,-1.7248238,0.025512535,0.74137798
SLAMF9,-1.9252558,0.025583338,0.742270835
FIGF,-2.1432061,0.025610549,0.742091537
ACTN2,-3.5332844,0.025631376,0.742114483
C6orf106,-1.780757,0.0256916,0.742697106
ISCA1,-1.5464061,0.025708326,0.742987349
ISCA1P1,-1.5464061,0.025708326,0.742987349
PRTFDC1,-2.4274418,0.025724422,0.743066025
LOC100131851,-1.1139396,0.025742738,0.743208699
LOC100130751,-1.1139396,0.025742738,0.743208699
SCT,-1.4885317,0.025759878,0.743317313
KCNA6,-1.2694725,0.025760096,0.743130616
ABCA10,-1.0850978,0.025775019,0.743175262
SYT13,-15.2003975,0.025800282,0.742747344
CBWD5,-1.1527083,0.025817747,0.742672909
C18orf45,-1.5088298,0.025889182,0.743572906
PARP14,-1.98317,0.025900433,0.743511709
C7orf57,-1.9101,0.025945852,0.744430915
MAP3K13,-1.1713821,0.025952335,0.744424702
IFIT5,-1.5887456,0.025954856,0.74430489
GOLIM4,-3.3607023,0.025957205,0.744180208
RNASE8,-1.1500229,0.025967268,0.744276694
NCRNA00205,-1.816527,0.025977259,0.744179167
RFC1,-1.839586,0.026012025,0.74440748
ALDH1L2,-1.943987,0.026012205,0.744220986
CTAGE3,-1.5690284,0.026036787,0.744540883
LOC643637,-2.4379816,0.026039605,0.744429894
PPARG,-4.0965486,0.026089183,0.744697745
ERO1L,-1.5872304,0.026123308,0.744524326
GULP1,-5.1800327,0.026144592,0.744558036
LOC647030,-1.3811134,0.026153806,0.744438875
EEF1B2,-1.3811134,0.026153806,0.744438875
C9orf53,-1.4913896,0.026193365,0.744992401
ACE2,-2.2384665,0.026224858,0.745506508
SGCA,-1.360018,0.026255154,0.745986046
ANKIB1,-1.4803057,0.026255868,0.745815646
HIF1A,-3.6130645,0.02627003,0.746027237
ADAMTS9,-3.4580698,0.026286478,0.746112975
LSM1,-1.9495773,0.026371438,0.747379053
DKK3,-1.4389056,0.026382478,0.747501307
SRPX,-4.109193,0.026387427,0.747450931
PHAX,-1.2513679,0.026420096,0.747994989
LOXL4,-1.1436198,0.026467028,0.74817999
GNB2L1,-1.056285,0.026492186,0.74832007
PGC,-1.5697639,0.026500914,0.748376396
SHC4,-3.2974153,0.02652836,0.748580751
PRKCDBP,-2.1702306,0.026535701,0.748407801
ISG15,-2.3307927,0.026538668,0.748111708
SPTLC3,-1.3064705,0.026608146,0.749120087
DGKZ,-1.4174201,0.026637877,0.749387533
STON1-GTF2A1L,-2.6178281,0.026714501,0.750024121
GTF2A1L,-2.6178281,0.026714501,0.750024121
RCN2,-1.6941894,0.026760212,0.750738453
EPHB1,-1.848483,0.026836738,0.751178545
ZNF821,-1.290152,0.02689648,0.752471697
GDAP1L1,-1.3065449,0.026908985,0.752632059
XRN1,-1.2341361,0.026914116,0.752586133
PRDM1,-1.6891876,0.026933239,0.752931398
QPCT,-3.8348742,0.026942719,0.752250192
C19orf66,-1.356211,0.026946358,0.75197392
GRP,-13.923703,0.026985573,0.752501342
ANKRD18B,-1.814814,0.027004928,0.75247457
NXN,-3.981703,0.027073268,0.753057021
ZNHIT6,-1.4197901,0.027093866,0.753252863
ADAMTS2,-1.6196638,0.027142222,0.753466185
TNFRSF4,-1.9593906,0.027179843,0.75413375
FAM181B,-1.5123266,0.027188537,0.754186682
SLC31A2,-2.5044618,0.027205563,0.754470608
UBE2K,-1.2691295,0.027209057,0.754379245
CHRM2,-1.3072718,0.027226523,0.754487014
PPP1R3F,-1.2086989,0.027226583,0.754300571
CAMSAP1,-1.3989291,0.027232893,0.754287322
C3orf36,-1.4030602,0.027235599,0.754174309
GALC,-1.7088065,0.027269294,0.754731204
CEP192,-1.3103765,0.027283653,0.754940584
CLDN17,-1.2869188,0.027302391,0.754707353
LRP4,-2.5745955,0.027320714,0.754838324
C11orf70,-2.404261,0.027342296,0.755059127
GCKR,-1.4241276,0.027356022,0.755250481
MUC7,-1.2642665,0.0273824,0.755415712
CDH5,-1.6007063,0.02739264,0.755510627
NPR1,-1.6057118,0.027428835,0.755571264
TOMM20L,-1.2425582,0.027441839,0.755554871
ERN1,-2.0690541,0.027500155,0.75641082
WDR63,-2.2452884,0.027525008,0.756532645
CHRNA1,-1.9487872,0.027549767,0.756838749
STXBP4,-1.2914517,0.027554224,0.756774099
AGMAT,-1.520566,0.027571262,0.756494164
FGD4,-2.0763683,0.027594605,0.756201059
H19,-2.3805869,0.027622271,0.756586045
FAM125B,-1.5989465,0.027638692,0.756290181
C17orf54,-1.1587671,0.027645877,0.756300542
CRISP2,-2.0416386,0.027646774,0.755952862
MAGEA10,-1.5380601,0.02766733,0.756142814
ZNF25,-1.4579804,0.027667519,0.755962063
NKD1,-2.798443,0.0276783,0.756070725
LOC283859,-2.798443,0.0276783,0.756070725
ADCY5,-1.7540325,0.02768875,0.756170305
APPL1,-1.4208292,0.027705356,0.756252101
LOC158257,-1.1261982,0.027710429,0.756204815
RNF217,-3.5466025,0.027754057,0.756466526
LOC401097,-6.3238497,0.02778609,0.756968302
MMP20,-1.3578593,0.027794012,0.756627637
KCNN4,-1.4308491,0.027800725,0.756625031
ASPM,-1.1031381,0.027821106,0.756623782
JMY,-1.6491808,0.02782864,0.756458401
CLDN11,-1.1862932,0.027831718,0.756357064
CLDN10,-1.9137809,0.027846435,0.755832784
CPM,-2.9516547,0.027846991,0.755663287
ZFP2,-1.3591733,0.027859394,0.755630819
NMI,-1.9006312,0.027875205,0.755322204
TIMP2,-1.867386,0.027883412,0.755176321
QTRTD1,-1.4669331,0.02789583,0.755328527
C3orf70,-2.8407135,0.027906225,0.755425919
PTPRM,-3.1275313,0.027953972,0.756165838
GIMAP4,-1.356825,0.027978234,0.756453849
HBEGF,-1.6973268,0.027987498,0.756336264
MED8,-1.2651604,0.028011586,0.756619231
RHCE,-1.6337441,0.028024452,0.756598934
C4orf46,-1.1466161,0.028026032,0.756457805
TBC1D29,-1.3755538,0.028033049,0.756096249
S100A9,-2.10567,0.028040863,0.756123474
HINT3,-1.4540461,0.02807638,0.756713948
C6orf59,-2.1636539,0.028097822,0.757108219
L1TD1,-1.4011275,0.028115755,0.757224196
PPM1E,-1.7139987,0.028138321,0.757097971
IFIT3,-2.129421,0.02817435,0.757150749
RLIM,-1.4256536,0.028181101,0.756966047
EIF2A,-1.807601,0.028188353,0.756612168
PCDHGA2,-1.9735332,0.028202615,0.756629458
SWAP70,-1.1751169,0.028218029,0.756860261
NDRG1,-1.7465211,0.028284669,0.757003204
BCHE,-2.7986276,0.028287865,0.756906433
NAT8B,-1.1039476,0.028295167,0.756919561
ADPRH,-1.328868,0.028300873,0.756889983
OTOA,-1.4571286,0.028313154,0.757036236
LARS,-2.3187084,0.028364033,0.758031858
PMCH,-1.4920232,0.028429617,0.758325564
RHAG,-1.513871,0.028452846,0.758580994
FAM124B,-2.0475287,0.028453406,0.75841397
C5orf23,-3.3652027,0.028550553,0.75918236
GRM1,-1.3428948,0.028550864,0.759008999
ARCN1,-1.3076042,0.028574208,0.759266315
GATA1,-1.2020408,0.028575188,0.758929392
DDX3Y,-1.2960821,0.028597308,0.759335399
TULP3,-1.7791528,0.028620471,0.759043572
CLTCL1,-1.5427839,0.02862719,0.758678565
PCDP1,-1.327552,0.028646267,0.759003131
PRG4,-15.92652,0.028660686,0.759023211
TPR,-15.92652,0.028660686,0.759023211
MT3,-1.1140023,0.028724318,0.759983914
NRXN2,-1.1394819,0.028757022,0.760125253
DDX52,-1.4774678,0.028762003,0.76007612
CNOT7,-1.8680227,0.02877509,0.760241155
COL11A1,-22.242693,0.028811348,0.760656541
ATF3,-3.0817237,0.028812819,0.760514701
RFWD3,-2.2647595,0.028816553,0.760432639
KIF5B,-1.2058398,0.028833003,0.760686075
ENTPD1,-1.3821268,0.028854052,0.760880107
TMEM90A,-1.3251358,0.028866,0.760834089
HLF,-7.264098,0.028869054,0.760734149
MRPL3,-1.3321484,0.028898713,0.761154707
ACVRL1,-1.0530812,0.028924412,0.761470615
PKD1L1,-1.3913835,0.028933886,0.761359275
HNRNPA0,-1.2298795,0.028934147,0.7611859
PPAPDC3,-2.1752698,0.028959094,0.760941452
ERRFI1,-1.2509892,0.02906689,0.761972161
LZIC,-1.0773275,0.029131926,0.7620591
KGFLP1,-1.9289571,0.029164106,0.761824849
LOC100132771,-1.9289571,0.029164106,0.761824849
FBXO39,-1.294415,0.029168079,0.761749571
GOLGA6L5,-1.7395854,0.029181768,0.761928009
IL18BP,-1.0247461,0.029202491,0.761753135
STXBP6,-2.9460237,0.02923116,0.761607069
SOX4,-1.4065812,0.029234759,0.761522309
LOC255480,-2.7676105,0.029250338,0.761571072
LOC100134317,-4.569254,0.02930335,0.761880231
LOC284412,-4.569254,0.02930335,0.761880231
RNF138,-1.224283,0.029324601,0.761897977
CYP26B1,-4.8642044,0.029337625,0.761524142
PTPN12,-1.316406,0.029340465,0.761242231
ULBP3,-1.7096912,0.029380605,0.761750098
TMSB15A,-6.553869,0.029391357,0.761851135
TSHZ2,-3.4118454,0.029437526,0.761626577
CHST6,-4.3713717,0.029446554,0.761151293
RAB43,-1.1104462,0.02946641,0.760956515
MLL5,-1.0589845,0.029474321,0.76098397
OLFM2,-1.3909466,0.029481841,0.760824584
KDSR,-1.2904122,0.029482343,0.76066089
CPNE8,-2.3304653,0.02948276,0.760495058
FAM160B1,-1.2213777,0.029489927,0.760326946
PGAM1,-1.1210965,0.029516022,0.760294127
C14orf23,-1.3916267,0.029517012,0.760143446
SPACA3,-1.3007582,0.029520256,0.760050841
S100A10,-1.8043263,0.029529755,0.759943241
MMP28,-3.0275197,0.029532841,0.759846698
OR51E2,-1.9947783,0.029550316,0.759944401
CEBPG,-1.5264143,0.029620203,0.760685428
C1orf163,-1.9493884,0.029630001,0.760409842
TSTD2,-1.1367998,0.029689675,0.760886929
CLIC6,-4.339072,0.029712601,0.761123409
KIAA0494,-1.6376292,0.029728315,0.760999671
FER,-1.4134521,0.029731967,0.760917862
HAMP,-1.3803439,0.02974517,0.760905286
CCDC65,-1.3798357,0.029801137,0.761460516
C6orf192,-2.550389,0.029816016,0.761490486
NDUFA8,-1.516684,0.029823775,0.761513646
KLHL18,-1.1893516,0.029832051,0.761549957
ASB10,-1.1584158,0.029834197,0.761429835
KDM4A,-1.6744158,0.029839972,0.761402341
LOC401233,-3.881568,0.029844541,0.761169356
TMED7,-1.6548817,0.02984649,0.761044415
NAPG,-1.9372182,0.029877485,0.761659956
LDHB,-1.6210591,0.029888365,0.761238782
C1orf96,-2.4781494,0.029934207,0.761010954
WDR36,-1.4918444,0.030000601,0.762175762
GPBAR1,-1.4660034,0.030016681,0.762409978
PENK,-1.6192557,0.030073824,0.762641152
DBNDD1,-1.2339332,0.030096679,0.762698577
C7orf33,-1.4897041,0.030157687,0.763548108
CNTN4,-1.5715019,0.030161629,0.763473959
KRTAP9-3,-1.2355902,0.030169287,0.762972605
CALCB,-1.4827175,0.030252834,0.764042194
MMP16,-1.8324949,0.030290074,0.76394097
DENND1A,-1.5713787,0.030290467,0.76377752
OLR1,-2.337601,0.030308885,0.764068574
CTSB,-2.5506682,0.030329071,0.764404031
LOC646626,-1.3515373,0.030382169,0.764009457
RIF1,-1.6167141,0.030387579,0.763799798
MTMR4,-1.5246218,0.030389319,0.763670808
TMEM217,-1.7037483,0.030418363,0.763882423
OR52A1,-1.1893128,0.030450262,0.76382043
PRUNE2,-3.9658985,0.030459732,0.76371317
PDE12,-1.1430694,0.030467182,0.763727653
CDCA7,-1.935339,0.030505763,0.763833242
GNRHR,-1.2060963,0.030533787,0.764018475
KIFC3,-1.5808526,0.030576248,0.764392434
ZFHX3,-1.8511311,0.030611794,0.76442122
SLC30A7,-1.3649012,0.030634746,0.764135788
ALDH1A3,-6.4751616,0.030642002,0.764145248
NCS1,-3.7684076,0.030676153,0.764482198
IRX1,-1.8680537,0.030681467,0.764443209
C16orf70,-1.0938091,0.030687082,0.764240397
PCDHGB3,-1.3687419,0.030689499,0.76412934
EGFLAM,-2.1337624,0.030749274,0.764932078
NEUROD6,-1.1011885,0.030760707,0.764874029
BAIAP2,-1.8166163,0.030782238,0.764895933
AATK,-1.8166163,0.030782238,0.764895933
PRKAG2,-1.39708,0.0308018,0.764698031
MECP2,-1.1392376,0.030810942,0.764412665
WHAMML1,-2.1614492,0.030813306,0.764300678
PDGFRL,-9.662022,0.030844778,0.764228379
PF4,-1.1347325,0.030873502,0.764258444
APBA2,-1.3942802,0.030895517,0.764292652
MFN2,-1.3634783,0.030905481,0.764198872
SLC1A6,-1.8016081,0.030927911,0.764583372
DPYSL2,-1.810481,0.030931249,0.764495813
SIGLEC1,-1.1670542,0.030940199,0.764207096
FAM136A,-1.4811633,0.030950226,0.763945361
LOC390806,-1.4811633,0.030950226,0.763945361
EDNRA,-2.3766785,0.0309719,0.764310556
LOC100134663,-1.1675637,0.03098907,0.764564471
LOC100128364,-1.1675637,0.03098907,0.764564471
PPP1CB,-1.1761167,0.031066225,0.764600694
FBXW7,-1.2831013,0.031079572,0.764759796
SLC5A6,-1.2978094,0.031088538,0.764641801
USP31,-2.4474432,0.031094364,0.764446695
WTAP,-1.0692117,0.03113275,0.764375732
ABI2,-1.5160466,0.031133203,0.764218016
LGMN,-1.3186803,0.03117066,0.764293302
ANO7,-1.2492859,0.031214159,0.764011239
TPST2,-1.948789,0.031225539,0.763953219
DDR2,-2.4755416,0.031253397,0.764298253
PMP2,-1.3132172,0.031266287,0.764445243
KCNQ1DN,-1.4504231,0.031276631,0.764361801
PDE9A,-1.4837866,0.03131211,0.764724319
GNAI1,-2.0760565,0.031340347,0.764741626
PM20D2,-2.68644,0.031354689,0.764420173
WDR1,-1.2374932,0.03136497,0.764335425
RPL23AP53,-1.1724124,0.031380856,0.764219779
MGC2752,-1.1724124,0.031380856,0.764219779
XRCC2,-1.6252702,0.03140919,0.764407236
KLK4,-1.7156075,0.031436941,0.764747632
DNAJB14,-1.4780045,0.031499727,0.765604592
TSPAN18,-2.6516738,0.031538476,0.765876314
ASAM,-1.7781397,0.031549399,0.765806884
LOC100128139,-1.2731924,0.031552063,0.765537097
DUSP23,-1.6244409,0.031568138,0.765592788
PODNL1,-3.9463215,0.031575324,0.765599978
FOXC1,-5.21349,0.03158997,0.765788005
LOC283143,-1.2623066,0.031590437,0.765632307
DNAJC10,-1.7603992,0.031598902,0.76567047
IL22RA2,-1.7860199,0.03160304,0.765603788
YBX1,-1.355382,0.031605661,0.765500404
ZC3H12C,-2.5202088,0.031622717,0.765746597
LOC100132618,-1.5066241,0.0316658,0.765788605
FOSL1,-1.3371223,0.03170432,0.766219909
ETV6,-1.8498157,0.03172549,0.766564836
RRBP1,-1.7907352,0.031750462,0.76650154
SLC2A12,-3.0888126,0.031783878,0.766642051
TXLNA,-1.1651263,0.031825765,0.766986432
YSK4,-1.3177111,0.031851102,0.767264266
LOC283454,-7.4273295,0.031860023,0.766980366
LOC727983,-1.1076677,0.031881588,0.767167118
CELF1,-1.3909643,0.031883704,0.767051924
ARHGAP21,-1.516698,0.031912838,0.767088533
CCDC25,-1.4419783,0.031915295,0.766981685
TGFBI,-1.2935297,0.031919833,0.766924888
MFAP2,-2.6719744,0.031928424,0.766634022
MED19,-1.7646713,0.031940405,0.766590407
RALYL,-1.239588,0.031944853,0.766366122
RPL27A,-1.2719355,0.031946814,0.766082403
GDEP,-1.0855479,0.031947586,0.765935612
POLR3B,-1.3317784,0.031959948,0.766066725
SPRED1,-1.44553,0.031978408,0.766013508
TUB,-4.0717926,0.031987733,0.766071727
B3GALT5,-1.1059451,0.032000294,0.766207438
MMRN1,-1.0845739,0.032071658,0.767254856
GP9,-1.163593,0.032083249,0.767201826
GNA12,-1.0994382,0.032083773,0.767049281
CNN1,-5.8398423,0.032100886,0.767128337
NECAB1,-3.013362,0.032106406,0.767095285
RNF19A,-2.2835548,0.032168479,0.767588125
SLC1A3,-2.0515454,0.032212021,0.76747349
PCDHB7,-1.5187081,0.032242574,0.767707633
RGN,-3.5771716,0.032252418,0.76777751
GTF3C4,-1.3171517,0.032270099,0.767540714
CNGB3,-1.3565074,0.032282823,0.767186521
TASP1,-1.3920214,0.032338262,0.767683111
TMEM61,-3.1664612,0.032344547,0.767504395
PDCL2,-1.4228282,0.032405753,0.768136628
NFE2L1,-1.2995938,0.032428719,0.768025699
HTRA4,-2.7084572,0.032459447,0.768098627
QSER1,-1.6930888,0.032539724,0.768525348
SLC13A3,-2.2909012,0.032543682,0.768455503
LOC100128644,-1.1141486,0.032544687,0.768152761
ZC3H18,-1.2551223,0.032577791,0.768607621
GOLT1B,-1.31327,0.032618353,0.768748508
KIR2DL4,-1.1250046,0.032637396,0.769034213
ADCY10,-1.7051727,0.032637889,0.768882785
FRMD1,-1.0974386,0.032649178,0.768985717
ADAMTSL1,-1.1929212,0.032653434,0.768922982
RUNDC3B,-2.2832634,0.032656282,0.768827126
BICD2,-1.466039,0.032656766,0.768675656
LTA,-1.2036374,0.032679507,0.768885213
CLDN16,-1.1848532,0.032686723,0.768729457
AQP4,-1.4489782,0.032709135,0.768931074
TMEM45B,-1.9020709,0.032718263,0.768820364
OR4C15,-1.0750349,0.032719893,0.76869612
MITF,-2.3158822,0.032719963,0.768535279
GAS1,-7.76423,0.032755183,0.768712597
TEX10,-1.5734764,0.032755481,0.768557294
ARHGEF15,-1.3462777,0.032778633,0.768289388
STARD6,-1.2000579,0.032781879,0.768203444
COL9A1,-1.2794317,0.032804638,0.768088876
TMEM159,-1.7785596,0.032860259,0.768096454
PRPH2,-3.002106,0.032867844,0.768112179
CEACAM19,-1.102754,0.032871329,0.768032102
CSNK1G3,-1.7066658,0.032922722,0.768747984
KCNH3,-1.2426686,0.032930242,0.768762028
ATP5H,-1.0669359,0.032949031,0.76871619
ZBTB8A,-1.4166565,0.032961261,0.768678733
MAGEB4,-1.2235196,0.032970628,0.768413397
C14orf184,-1.5357364,0.033017163,0.769014088
CHN2,-1.437869,0.033030988,0.769174865
TGFB1I1,-1.2677121,0.033045139,0.769343166
PCOLCE2,-4.6363792,0.033090607,0.770079073
KLHDC8A,-2.027241,0.033108502,0.770334175
MPZL3,-1.6476746,0.033111415,0.77024069
NTRK2,-1.5204862,0.033115552,0.770175708
NMNAT2,-4.7988815,0.033127515,0.770131565
SLC7A3,-1.2768035,0.033132271,0.770081026
PRKAR1A,-1.3836529,0.033167085,0.770245774
DENND2C,-3.259181,0.033204768,0.770637733
MKKS,-1.4747181,0.03323145,0.771095938
SRGAP2P1,-1.2233552,0.033271152,0.771533852
C11orf74,-1.603742,0.033277042,0.771348503
LEMD1,-2.4411213,0.033280296,0.771263048
VDAC2,-1.2362549,0.033299423,0.771384577
C18orf19,-1.5148466,0.033320084,0.771541508
BTBD16,-1.9425006,0.033362609,0.772043566
BTBD9,-1.3172625,0.033447319,0.772716519
PCDHB18,-1.9389273,0.033470989,0.773102625
FGF2,-4.0120635,0.033541306,0.773761791
KLC1,-1.2163152,0.033569401,0.774088522
CLDND1,-1.3292439,0.033574047,0.773874482
POMC,-1.4259638,0.033615912,0.774197092
GPR4,-2.0620446,0.033620226,0.774136006
CNTN6,-1.4535632,0.033633144,0.773952353
LRIG2,-1.3995036,0.033636453,0.773868231
TLR2,-1.7346225,0.033652647,0.773920352
LOC285943,-2.376938,0.033655626,0.773828697
HOXA4,-2.376938,0.033655626,0.773828697
ESYT2,-1.8807874,0.03367726,0.773206232
NUPR1,-1.4302086,0.033679449,0.77309675
FLJ25694,-1.3433673,0.033692751,0.773242375
CA10,-1.2126153,0.033698144,0.773206447
RSPH6A,-1.3224674,0.033714426,0.773420357
GABPA,-1.6800624,0.033731678,0.773496748
KCNMB1,-1.9786564,0.033734009,0.773071617
MBNL1,-1.3605949,0.033736311,0.772805632
MYCT1,-2.1690419,0.033796641,0.773549773
FCN2,-1.6041493,0.033812264,0.772952112
DNAJB5,-1.7073028,0.033843948,0.773517289
TUBD1,-1.3308845,0.033850916,0.773199458
LOC100130289,-1.0407516,0.033881836,0.77358769
KCNK7,-1.1067647,0.033887388,0.773555502
MAGI3,-1.3779522,0.033957545,0.773885206
C9orf3,-1.5874593,0.034011379,0.774159465
LOC100133106,-1.3995801,0.034021188,0.774065625
KHDC1L,-3.4565995,0.034032944,0.773541189
PCDHGA9,-1.1767253,0.034051477,0.773487786
KRT26,-1.7367718,0.03408604,0.773482345
NCOA7,-2.2025707,0.03410281,0.772915876
NMU,-3.720449,0.034134524,0.773319198
LOC731789,-1.1850513,0.034188658,0.773756872
SLC46A2,-1.6001254,0.034193353,0.773548039
SNX30,-1.6001254,0.034193353,0.773548039
WNK1,-1.3001306,0.03428839,0.77490925
FZD4,-2.247209,0.034316613,0.775231745
GPT2,-1.4052953,0.034336674,0.775212162
CD3EAP,-2.154527,0.034344609,0.7752338
ERCC1,-2.154527,0.034344609,0.7752338
ACSL6,-1.3450404,0.03435904,0.775244594
LOC728637,-1.3450404,0.03435904,0.775244594
NCL,-1.2221313,0.034419849,0.775828991
EMX2,-2.2252967,0.034427778,0.775850323
SRC,-1.410212,0.03443392,0.775831408
RBM9,-1.9352269,0.034484029,0.775702183
GK5,-1.4266453,0.034498343,0.775710101
AASS,-1.7143774,0.034515269,0.775463051
RBM18,-1.3115982,0.034540615,0.775875643
MAN1A2,-1.6897901,0.034554394,0.775714726
CGB7,-1.1347401,0.03456882,0.775568549
MCFD2,-2.060238,0.034603864,0.775884826
MYO10,-5.2037854,0.034636913,0.776312559
DYSF,-1.7133722,0.034654041,0.776539831
GPR180,-1.3607585,0.034716477,0.777155324
DIMT1L,-1.4684277,0.034719807,0.777073329
TBC1D8B,-2.7000618,0.034759659,0.776869981
MGC87042,-2.6487954,0.034762732,0.776626277
MED13,-1.9966917,0.034764597,0.77651183
SGSM1,-2.0380387,0.034766812,0.776249235
MS4A6E,-1.1505675,0.034766831,0.77609373
GLS,-2.2465827,0.034806047,0.776033787
KL,-1.5129772,0.034854664,0.775872358
ITGA10,-1.2432667,0.034860612,0.775849355
VEGFA,-1.5263225,0.034928261,0.776421924
LOC727869,-1.7138577,0.034958592,0.776785374
CDC42BPA,-4.998737,0.034967199,0.776821282
RAD23B,-1.7284862,0.034969043,0.776706967
RPS6P6,-1.2652003,0.035013829,0.777080423
AKAP13,-1.7130814,0.035034409,0.777226718
RASGRF2,-2.9264321,0.035035917,0.777105025
GLYATL2,-3.73122,0.03504574,0.777012721
ZNF469,-4.758077,0.035122573,0.777785105
PRSS3,-1.4795816,0.035167273,0.777999768
UTP15,-1.383533,0.035185531,0.778093876
SLC36A3,-1.1910106,0.035198519,0.777916668
CTTNBP2NL,-2.094659,0.035199581,0.777785459
FAM110A,-1.4805902,0.035272683,0.778471959
G0S2,-4.6591907,0.035281009,0.778501106
FAM55D,-1.7581717,0.035326863,0.778430888
ALOX12B,-1.172846,0.035351006,0.778808457
ANKRD35,-2.6191406,0.035352661,0.778690539
